"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3936","TC054: Iframe concept page loads successfully","chromium","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","847","TC085: Challenge can be verified as visible","chromium","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","1016","TC046: All filter elements are visible","chromium","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","2029","TC094: All blog cards are visible","Microsoft Edge","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","1324","TC051: Navigation is visible on interview questions page","chromium","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","1594","TC103: HTML Basics blog link is enabled","chromium","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","991","TC007: Challenges button navigates to challenges page","Microsoft Edge","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","2316","TC003: Logo on home page is clickable and navigates to home","chromium","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","941","TC061: Table concept page loads successfully","Microsoft Edge","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","4093","TC038: Search functionality filters interview questions","Microsoft Edge","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","761","TC071: Navigation is visible on concepts page","Microsoft Edge","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","1134","TC089: Navigate to challenge and verify URL","Microsoft Edge","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","977","TC007: Challenges button navigates to challenges page","chromium","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","868","TC061: Table concept page loads successfully","chromium","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","817","TC032: All CTA buttons are visible on explore page","chromium","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","1634","TC118: Multi-concept navigation","chromium","2026-04-30","passed","2026-04-30","End-to-End User Journeys","e2e.spec.ts","",""
"","1192","TC116: Navigation flow - Home -> Explore -> Back to Home","Microsoft Edge","2026-04-30","passed","2026-04-30","End-to-End User Journeys","e2e.spec.ts","",""
"","1119","TC019: Get and verify hero heading text","chromium","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
